,dst,rssi,src
190,T692a0c,-51,T692f38
191,T692f38,-54,T692a0c
192,T0b47c0,-54,T0b479c
193,T0b479c,-56,T0b47c0
194,Tc849e0,-51,Tc849fc
195,Tc849fc,-49,Tc849e0
196,T0b479c,-52,T0b4764
197,T0b4764,-50,T0b479c
198,Tc84b40,-53,Tc84a58
199,Tc84a58,-55,Tc84b40
200,T6929c0,-54,Tc84b40
201,Tc84b40,-57,T6929c0
202,Tc84060,-54,Tc84a58
203,Tc84a58,-53,Tc84060
204,Tc84b40,-54,Tc848ec
205,Tc848ec,-55,Tc84b40
206,Tc84b40,-54,Tc84a18
207,Tc84a18,-54,Tc84b40
208,T6929c0,-53,T0b47c0
209,T0b47c0,-57,T6929c0
210,T692a0c,-53,Tc84a58
211,Tc84a58,-51,T692a0c
212,Tc848ec,-47,T692eac
213,T692eac,-49,Tc848ec
214,T6929c0,-53,Tc84060
215,Tc84060,-54,T6929c0
216,Tc84b40,-53,Tc849fc
217,Tc849fc,-53,Tc84b40
218,Tc848b8,-50,T692f20
219,T692f20,-54,Tc848b8
220,Tc84a18,-49,T0b479c
221,T0b479c,-52,Tc84a18
222,Tc84b28,-50,T0b4764
223,T0b4764,-56,Tc84b28
224,Tc84bec,-50,T692f20
225,T692f20,-47,Tc84bec
226,Tc849e0,-54,Tc84a58
227,Tc84a58,-53,Tc849e0
228,Tc84b14,-44,Tc84a58
229,Tc84a58,-50,Tc84b14
230,Tc84028,-52,T0b479c
231,T0b479c,-51,Tc84028
232,Tc84ab8,-54,T0b479c
233,T0b479c,-54,Tc84ab8
234,Tc848b8,-51,T692880
235,T692880,-52,Tc848b8
236,Tc84bec,-52,T692880
237,T692880,-50,Tc84bec
238,T692880,-51,T692f20
239,T692f20,-51,T692880
240,Tc849fc,-55,T0b47c0
241,T0b47c0,-57,Tc849fc
242,Tc84b14,-52,Tc849fc
243,Tc849fc,-53,Tc84b14
244,Tc848b8,-55,Tc849e0
245,Tc849e0,-57,Tc848b8
246,Tc84b14,-52,T692eac
247,T692eac,-52,Tc84b14
248,T0b47c0,-54,T0b4764
249,T0b4764,-51,T0b47c0
250,T692eac,-56,T692f20
251,T692f20,-52,T692eac
252,Tc84b28,-53,T0b479c
253,T0b479c,-54,Tc84b28
254,Tc84a18,-49,T0b4764
255,T0b4764,-50,Tc84a18
256,Tc84bec,-50,Tc83b7c
257,Tc83b7c,-47,Tc84bec
258,Tc848b8,-49,Tc83b7c
259,Tc83b7c,-51,Tc848b8
260,Tc848b8,-48,Tc84ab8
261,Tc84ab8,-56,Tc848b8
262,Tc84a18,-49,T692880
263,T692880,-51,Tc84a18
264,Tc84ab8,-52,T692f20
265,T692f20,-54,Tc84ab8
266,Tc84028,-49,T692f20
267,T692f20,-48,Tc84028
268,Tc849fc,-50,T692f38
269,T692f38,-52,Tc849fc
270,T692eac,-55,T0b479c
271,T0b479c,-56,T692eac
272,Tc849fc,-52,Tc84a18
273,Tc84a18,-52,Tc849fc
274,Tc84ab8,-54,T692a20
275,T692a20,-55,Tc84ab8
276,Tc84b14,-52,Tc84060
277,Tc84060,-54,Tc84b14
278,Tc84b14,-51,T0b47c0
279,T0b47c0,-55,Tc84b14
280,Tc84a18,-56,Tc849e0
281,Tc849e0,-55,Tc84a18
282,Tc84a18,-50,Tc83b7c
283,Tc83b7c,-52,Tc84a18
284,Tc84a18,-54,Tc84ab8
285,Tc84ab8,-56,Tc84a18
286,Tc849fc,-55,Tc84a58
287,Tc84a58,-54,Tc849fc
288,Tc849fc,-52,Tc848ec
289,Tc848ec,-54,Tc849fc
290,Tc848b8,-49,T0b4764
291,T0b4764,-53,Tc848b8
292,Tc84bec,-50,T0b4764
293,T0b4764,-54,Tc84bec
294,Tc84b28,-49,T692f20
295,T692f20,-54,Tc84b28
296,T6929c0,-54,Tc849e0
297,Tc849e0,-55,T6929c0
298,Tc84028,-49,Tc84a58
299,Tc84a58,-52,Tc84028
300,Tc84a64,-50,T692880
301,T692880,-53,Tc84a64
302,Tc84b14,-50,T0b479c
303,T0b479c,-55,Tc84b14
304,Tc84ab8,-48,Tc84a58
305,Tc84a58,-50,Tc84ab8
306,Tc84b28,-51,T692eac
307,T692eac,-50,Tc84b28
308,Tc84b9c,-48,T692880
309,T692880,-50,Tc84b9c
310,T692a04,-50,T0b4764
311,T0b4764,-53,T692a04
312,Tc84028,-54,Tc849fc
313,Tc849fc,-51,Tc84028
314,T6929c0,-50,Tc83b7c
315,Tc83b7c,-52,T6929c0
316,Tc848ec,-47,T0b4764
317,T0b4764,-47,Tc848ec
318,T6929c0,-52,Tc84ab8
319,Tc84ab8,-51,T6929c0
320,Tc84060,-54,T0b4764
321,T0b4764,-52,Tc84060
322,Tc84028,-50,T692eac
323,T692eac,-50,Tc84028
324,Tc84b9c,-49,Tc83b7c
325,Tc83b7c,-51,Tc84b9c
326,Tc84b28,-51,Tc849fc
327,Tc849fc,-50,Tc84b28
328,T6929c0,-52,T692880
329,T692880,-58,T6929c0
330,Tc84ab8,-49,T692eac
331,T692eac,-53,Tc84ab8
332,Tc84b40,-47,T0b4764
333,T0b4764,-54,Tc84b40
334,Tc84a64,-47,Tc83b7c
335,Tc83b7c,-50,Tc84a64
336,Tc849e0,-53,T0b4764
337,T0b4764,-51,Tc849e0
338,Tc84b28,-47,Tc84a58
339,Tc84a58,-50,Tc84b28
340,T692a0c,-54,T0b4764
341,T0b4764,-56,T692a0c
342,Tc849fc,-55,T692f20
343,T692f20,-55,Tc849fc
344,Tc849e0,-51,T692880
345,T692880,-50,Tc849e0
346,T692eac,-50,T692f38
347,T692f38,-49,T692eac
348,Tc84b14,-53,T692f20
349,T692f20,-54,Tc84b14
350,Tc84b28,-52,T0b47c0
351,T0b47c0,-54,Tc84b28
352,Tc84b28,-55,Tc84060
353,Tc84060,-53,Tc84b28
354,T692880,-50,Tc84a58
355,Tc84a58,-51,T692880
356,T692a04,-53,Tc83b7c
357,Tc83b7c,-52,T692a04
358,T6929c0,-51,T0b4764
359,T0b4764,-52,T6929c0
360,Tc848ec,-50,Tc83b7c
361,Tc83b7c,-53,Tc848ec
362,Tc848ec,-53,Tc84ab8
363,Tc84ab8,-57,Tc848ec
364,Tc84b40,-48,T692880
365,T692880,-51,Tc84b40
366,Tc84028,-49,Tc84060
367,Tc84060,-54,Tc84028
368,Tc84028,-53,T0b47c0
369,T0b47c0,-50,Tc84028
370,Tc84b9c,-51,T0b4764
371,T0b4764,-53,Tc84b9c
372,Tc83f74,-47,T0b4764
373,T0b4764,-55,Tc83f74
374,T692eac,-52,Tc84a58
375,Tc84a58,-53,T692eac
376,Tc84ab8,-54,T0b47c0
377,T0b47c0,-56,Tc84ab8
378,Tc84b14,-49,Tc84b28
379,Tc84b28,-54,Tc84b14
380,T692a04,-48,T692880
381,T692880,-53,T692a04
382,Tc84b14,-56,T692a20
383,T692a20,-56,Tc84b14
384,Tc84b40,-50,Tc83b7c
385,Tc83b7c,-53,Tc84b40
386,Tc84b40,-53,Tc84ab8
387,Tc84ab8,-56,Tc84b40
388,Tc848ec,-49,T692880
389,T692880,-52,Tc848ec
390,Tc84ab8,-53,Tc84060
391,Tc84060,-55,Tc84ab8
392,Tc84a64,-54,T0b4764
393,T0b4764,-54,Tc84a64
394,Tc849fc,-54,T0b479c
395,T0b479c,-55,Tc849fc
396,T692880,-51,T692f38
397,T692f38,-53,T692880
398,Tc849e0,-50,Tc83b7c
399,Tc83b7c,-52,Tc849e0
400,T692eac,-52,Tc849fc
401,Tc849fc,-56,T692eac
